book_id,title,author,isbn,category,language,publisher,published_year,shelf_location,is_available,status,copies
18,The Lord of the Rings,J.R.R. Tolkien,9780618640157,Fantasy,English,Houghton Mifflin,1954,A6,Yes,Damaged,3
19,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,A5,No,Damaged,4
20,Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780590353427,Fantasy,English,Scholastic,1997,E4,Yes,Damaged,1
21,Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780590353427,Fantasy,English,Scholastic,1997,D2,No,Lost,1
22,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,E6,No,Lost,9
23,Moby-Dick,Herman Melville,9781503280786,Fiction,English,Harper & Brothers,1851,B9,No,Damaged,3
24,Pride and Prejudice,Jane Austen,9781503290563,Romance,English,T. Egerton,1813,B10,No,Lost,3
25,Moby-Dick,Herman Melville,9781503280786,Fiction,English,Harper & Brothers,1851,C2,No,Lost,1
26,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,E2,Yes,Lost,9
27,The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,English,Houghton Mifflin,1937,B2,Yes,Lost,6
28,Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780590353427,Fantasy,English,Scholastic,1997,C8,Yes,Damaged,10
29,To Kill a Mockingbird,Harper Lee,9780061120084,Fiction,English,J.B. Lippincott & Co.,1960,C6,Yes,Damaged,10
30,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,A9,No,Lost,8
31,To Kill a Mockingbird,Harper Lee,9780061120084,Fiction,English,J.B. Lippincott & Co.,1960,D5,Yes,Lost,8
32,The Lord of the Rings,J.R.R. Tolkien,9780618640157,Fantasy,English,Houghton Mifflin,1954,E10,No,Damaged,3
33,The Lord of the Rings,J.R.R. Tolkien,9780618640157,Fantasy,English,Houghton Mifflin,1954,A9,No,Lost,4
34,The Catcher in the Rye,J.D. Salinger,9780316769488,Fiction,English,"Little, Brown and Company",1951,C8,No,Lost,4
35,War and Peace,Leo Tolstoy,9781400079988,Historical Fiction,English,The Russian Messenger,1869,D6,No,Active,9
36,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,B2,No,Active,10
37,The Catcher in the Rye,J.D. Salinger,9780316769488,Fiction,English,"Little, Brown and Company",1951,A5,No,Active,2
38,The Lord of the Rings,J.R.R. Tolkien,9780618640157,Fantasy,English,Houghton Mifflin,1954,D4,Yes,Damaged,8
39,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,C6,No,Damaged,7
40,The Lord of the Rings,J.R.R. Tolkien,9780618640157,Fantasy,English,Houghton Mifflin,1954,D5,Yes,Active,6
41,Pride and Prejudice,Jane Austen,9781503290563,Romance,English,T. Egerton,1813,E7,Yes,Active,9
42,War and Peace,Leo Tolstoy,9781400079988,Historical Fiction,English,The Russian Messenger,1869,B1,No,Lost,10
43,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,E10,No,Active,7
44,To Kill a Mockingbird,Harper Lee,9780061120084,Fiction,English,J.B. Lippincott & Co.,1960,A4,Yes,Lost,8
45,The Lord of the Rings,J.R.R. Tolkien,9780618640157,Fantasy,English,Houghton Mifflin,1954,B7,No,Lost,10
46,To Kill a Mockingbird,Harper Lee,9780061120084,Fiction,English,J.B. Lippincott & Co.,1960,C5,No,Damaged,1
47,The Lord of the Rings,J.R.R. Tolkien,9780618640157,Fantasy,English,Houghton Mifflin,1954,E4,No,Lost,8
48,To Kill a Mockingbird,Harper Lee,9780061120084,Fiction,English,J.B. Lippincott & Co.,1960,C10,Yes,Active,4
49,The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,English,Houghton Mifflin,1937,D6,No,Active,1
50,Pride and Prejudice,Jane Austen,9781503290563,Romance,English,T. Egerton,1813,A10,Yes,Lost,1
51,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,E10,No,Lost,8
52,Pride and Prejudice,Jane Austen,9781503290563,Romance,English,T. Egerton,1813,B8,No,Lost,1
53,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,D5,No,Damaged,2
54,The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,English,Houghton Mifflin,1937,A1,No,Damaged,3
55,The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,English,Houghton Mifflin,1937,E3,No,Damaged,3
56,Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780590353427,Fantasy,English,Scholastic,1997,E4,No,Damaged,5
57,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,C9,Yes,Lost,4
58,The Lord of the Rings,J.R.R. Tolkien,9780618640157,Fantasy,English,Houghton Mifflin,1954,B9,No,Active,10
59,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,B7,Yes,Lost,10
60,The Lord of the Rings,J.R.R. Tolkien,9780618640157,Fantasy,English,Houghton Mifflin,1954,E7,Yes,Active,9
61,The Lord of the Rings,J.R.R. Tolkien,9780618640157,Fantasy,English,Houghton Mifflin,1954,D9,No,Lost,3
62,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,B2,No,Lost,2
63,War and Peace,Leo Tolstoy,9781400079988,Historical Fiction,English,The Russian Messenger,1869,C1,No,Lost,4
64,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,C7,Yes,Lost,1
65,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,A8,Yes,Damaged,7
66,Pride and Prejudice,Jane Austen,9781503290563,Romance,English,T. Egerton,1813,E7,Yes,Lost,8
67,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,A2,Yes,Lost,6
68,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,E7,Yes,Active,10
69,Moby-Dick,Herman Melville,9781503280786,Fiction,English,Harper & Brothers,1851,C8,No,Active,6
70,Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780590353427,Fantasy,English,Scholastic,1997,D4,No,Damaged,5
71,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,C6,Yes,Active,10
72,To Kill a Mockingbird,Harper Lee,9780061120084,Fiction,English,J.B. Lippincott & Co.,1960,C6,No,Lost,7
73,Moby-Dick,Herman Melville,9781503280786,Fiction,English,Harper & Brothers,1851,B8,No,Active,2
74,Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780590353427,Fantasy,English,Scholastic,1997,A3,Yes,Damaged,6
75,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,A2,No,Damaged,9
76,The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,English,Houghton Mifflin,1937,A5,No,Lost,1
77,The Catcher in the Rye,J.D. Salinger,9780316769488,Fiction,English,"Little, Brown and Company",1951,C10,No,Lost,9
78,To Kill a Mockingbird,Harper Lee,9780061120084,Fiction,English,J.B. Lippincott & Co.,1960,E9,Yes,Damaged,3
79,The Lord of the Rings,J.R.R. Tolkien,9780618640157,Fantasy,English,Houghton Mifflin,1954,B9,Yes,Active,7
80,Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780590353427,Fantasy,English,Scholastic,1997,B1,Yes,Lost,1
81,The Lord of the Rings,J.R.R. Tolkien,9780618640157,Fantasy,English,Houghton Mifflin,1954,C7,No,Damaged,9
82,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,B7,Yes,Lost,9
83,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,E5,Yes,Damaged,10
84,Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780590353427,Fantasy,English,Scholastic,1997,B4,Yes,Active,10
85,The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,English,Houghton Mifflin,1937,E4,No,Lost,4
86,The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,English,Houghton Mifflin,1937,D2,Yes,Active,10
87,The Catcher in the Rye,J.D. Salinger,9780316769488,Fiction,English,"Little, Brown and Company",1951,B6,No,Lost,1
88,Pride and Prejudice,Jane Austen,9781503290563,Romance,English,T. Egerton,1813,A2,No,Damaged,9
89,Pride and Prejudice,Jane Austen,9781503290563,Romance,English,T. Egerton,1813,D8,No,Damaged,8
90,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,B7,No,Lost,7
91,War and Peace,Leo Tolstoy,9781400079988,Historical Fiction,English,The Russian Messenger,1869,C1,Yes,Active,9
92,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,B2,No,Lost,5
93,The Lord of the Rings,J.R.R. Tolkien,9780618640157,Fantasy,English,Houghton Mifflin,1954,C8,Yes,Damaged,9
94,Moby-Dick,Herman Melville,9781503280786,Fiction,English,Harper & Brothers,1851,C8,Yes,Active,4
95,Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780590353427,Fantasy,English,Scholastic,1997,C9,No,Active,3
96,Moby-Dick,Herman Melville,9781503280786,Fiction,English,Harper & Brothers,1851,A5,Yes,Damaged,8
97,The Catcher in the Rye,J.D. Salinger,9780316769488,Fiction,English,"Little, Brown and Company",1951,B2,No,Lost,2
98,Pride and Prejudice,Jane Austen,9781503290563,Romance,English,T. Egerton,1813,B3,Yes,Active,9
99,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,A5,Yes,Lost,2
100,Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780590353427,Fantasy,English,Scholastic,1997,B1,Yes,Damaged,3
101,Moby-Dick,Herman Melville,9781503280786,Fiction,English,Harper & Brothers,1851,C9,Yes,Damaged,8
102,War and Peace,Leo Tolstoy,9781400079988,Historical Fiction,English,The Russian Messenger,1869,C3,Yes,Damaged,6
103,Pride and Prejudice,Jane Austen,9781503290563,Romance,English,T. Egerton,1813,A6,No,Damaged,5
104,Pride and Prejudice,Jane Austen,9781503290563,Romance,English,T. Egerton,1813,B1,Yes,Active,2
105,The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,English,Houghton Mifflin,1937,D7,No,Active,7
106,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,B9,Yes,Damaged,2
107,Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780590353427,Fantasy,English,Scholastic,1997,A6,No,Lost,3
108,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,C2,No,Active,2
109,War and Peace,Leo Tolstoy,9781400079988,Historical Fiction,English,The Russian Messenger,1869,C6,Yes,Damaged,8
110,The Catcher in the Rye,J.D. Salinger,9780316769488,Fiction,English,"Little, Brown and Company",1951,B6,Yes,Damaged,10
111,Moby-Dick,Herman Melville,9781503280786,Fiction,English,Harper & Brothers,1851,E7,Yes,Active,9
112,The Lord of the Rings,J.R.R. Tolkien,9780618640157,Fantasy,English,Houghton Mifflin,1954,A1,No,Damaged,10
113,Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780590353427,Fantasy,English,Scholastic,1997,E8,No,Active,5
114,Moby-Dick,Herman Melville,9781503280786,Fiction,English,Harper & Brothers,1851,C9,No,Damaged,2
115,To Kill a Mockingbird,Harper Lee,9780061120084,Fiction,English,J.B. Lippincott & Co.,1960,A9,Yes,Lost,6
116,War and Peace,Leo Tolstoy,9781400079988,Historical Fiction,English,The Russian Messenger,1869,E7,No,Lost,10
117,The Lord of the Rings,J.R.R. Tolkien,9780618640157,Fantasy,English,Houghton Mifflin,1954,B1,Yes,Damaged,1
118,Pride and Prejudice,Jane Austen,9781503290563,Romance,English,T. Egerton,1813,C1,Yes,Active,3
119,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,E1,No,Active,3
120,To Kill a Mockingbird,Harper Lee,9780061120084,Fiction,English,J.B. Lippincott & Co.,1960,B2,No,Damaged,7
121,The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,English,Houghton Mifflin,1937,B10,Yes,Damaged,5
122,The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,English,Houghton Mifflin,1937,A5,Yes,Damaged,3
123,War and Peace,Leo Tolstoy,9781400079988,Historical Fiction,English,The Russian Messenger,1869,D3,Yes,Active,3
124,Moby-Dick,Herman Melville,9781503280786,Fiction,English,Harper & Brothers,1851,E7,Yes,Damaged,2
125,War and Peace,Leo Tolstoy,9781400079988,Historical Fiction,English,The Russian Messenger,1869,A1,Yes,Lost,1
126,Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780590353427,Fantasy,English,Scholastic,1997,E5,No,Lost,9
127,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,C7,No,Active,8
128,To Kill a Mockingbird,Harper Lee,9780061120084,Fiction,English,J.B. Lippincott & Co.,1960,B5,Yes,Active,2
129,The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,English,Houghton Mifflin,1937,D4,No,Lost,1
130,The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,English,Houghton Mifflin,1937,D2,Yes,Lost,5
131,Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780590353427,Fantasy,English,Scholastic,1997,E6,Yes,Lost,8
132,Moby-Dick,Herman Melville,9781503280786,Fiction,English,Harper & Brothers,1851,E2,Yes,Active,2
133,The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,English,Houghton Mifflin,1937,C1,No,Damaged,6
134,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,B7,No,Active,2
135,Pride and Prejudice,Jane Austen,9781503290563,Romance,English,T. Egerton,1813,B8,Yes,Active,4
136,The Catcher in the Rye,J.D. Salinger,9780316769488,Fiction,English,"Little, Brown and Company",1951,B4,Yes,Damaged,1
137,The Catcher in the Rye,J.D. Salinger,9780316769488,Fiction,English,"Little, Brown and Company",1951,B10,No,Active,4
138,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,B8,Yes,Damaged,1
139,To Kill a Mockingbird,Harper Lee,9780061120084,Fiction,English,J.B. Lippincott & Co.,1960,A9,No,Lost,2
140,To Kill a Mockingbird,Harper Lee,9780061120084,Fiction,English,J.B. Lippincott & Co.,1960,D5,No,Damaged,5
141,The Catcher in the Rye,J.D. Salinger,9780316769488,Fiction,English,"Little, Brown and Company",1951,D3,No,Active,7
142,The Catcher in the Rye,J.D. Salinger,9780316769488,Fiction,English,"Little, Brown and Company",1951,E4,No,Damaged,1
143,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,E6,Yes,Lost,6
144,The Lord of the Rings,J.R.R. Tolkien,9780618640157,Fantasy,English,Houghton Mifflin,1954,C5,Yes,Damaged,1
145,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,C8,Yes,Damaged,4
146,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,B2,Yes,Damaged,9
147,Moby-Dick,Herman Melville,9781503280786,Fiction,English,Harper & Brothers,1851,C7,No,Damaged,7
148,Pride and Prejudice,Jane Austen,9781503290563,Romance,English,T. Egerton,1813,C10,Yes,Active,4
149,Pride and Prejudice,Jane Austen,9781503290563,Romance,English,T. Egerton,1813,A5,No,Damaged,1
150,The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,English,Houghton Mifflin,1937,D7,Yes,Lost,3
151,The Lord of the Rings,J.R.R. Tolkien,9780618640157,Fantasy,English,Houghton Mifflin,1954,C3,Yes,Lost,4
152,The Catcher in the Rye,J.D. Salinger,9780316769488,Fiction,English,"Little, Brown and Company",1951,A4,No,Damaged,4
153,The Catcher in the Rye,J.D. Salinger,9780316769488,Fiction,English,"Little, Brown and Company",1951,E6,No,Lost,8
154,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,D3,No,Active,6
155,The Lord of the Rings,J.R.R. Tolkien,9780618640157,Fantasy,English,Houghton Mifflin,1954,E8,No,Active,4
156,War and Peace,Leo Tolstoy,9781400079988,Historical Fiction,English,The Russian Messenger,1869,C3,Yes,Damaged,9
157,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,A5,Yes,Damaged,7
158,Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780590353427,Fantasy,English,Scholastic,1997,A2,No,Damaged,6
159,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,B5,No,Active,3
160,Pride and Prejudice,Jane Austen,9781503290563,Romance,English,T. Egerton,1813,B2,Yes,Damaged,7
161,War and Peace,Leo Tolstoy,9781400079988,Historical Fiction,English,The Russian Messenger,1869,C7,Yes,Active,4
162,Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780590353427,Fantasy,English,Scholastic,1997,A10,No,Damaged,8
163,The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,English,Houghton Mifflin,1937,C7,No,Active,1
164,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,D7,Yes,Active,6
165,The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,English,Houghton Mifflin,1937,D1,No,Lost,10
166,Pride and Prejudice,Jane Austen,9781503290563,Romance,English,T. Egerton,1813,E2,No,Active,2
167,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,E2,No,Active,2
168,The Catcher in the Rye,J.D. Salinger,9780316769488,Fiction,English,"Little, Brown and Company",1951,D5,No,Lost,2
169,The Catcher in the Rye,J.D. Salinger,9780316769488,Fiction,English,"Little, Brown and Company",1951,A6,No,Lost,7
170,War and Peace,Leo Tolstoy,9781400079988,Historical Fiction,English,The Russian Messenger,1869,A9,No,Lost,1
171,Pride and Prejudice,Jane Austen,9781503290563,Romance,English,T. Egerton,1813,B1,No,Lost,3
172,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,E5,No,Lost,9
173,War and Peace,Leo Tolstoy,9781400079988,Historical Fiction,English,The Russian Messenger,1869,D1,Yes,Lost,10
174,The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,English,Houghton Mifflin,1937,C8,No,Lost,4
175,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,C9,Yes,Active,6
176,To Kill a Mockingbird,Harper Lee,9780061120084,Fiction,English,J.B. Lippincott & Co.,1960,E10,No,Damaged,1
177,Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780590353427,Fantasy,English,Scholastic,1997,C8,Yes,Active,1
178,Pride and Prejudice,Jane Austen,9781503290563,Romance,English,T. Egerton,1813,A8,No,Lost,7
179,To Kill a Mockingbird,Harper Lee,9780061120084,Fiction,English,J.B. Lippincott & Co.,1960,C1,Yes,Active,2
180,To Kill a Mockingbird,Harper Lee,9780061120084,Fiction,English,J.B. Lippincott & Co.,1960,C1,Yes,Damaged,1
181,Moby-Dick,Herman Melville,9781503280786,Fiction,English,Harper & Brothers,1851,E8,Yes,Active,2
182,The Lord of the Rings,J.R.R. Tolkien,9780618640157,Fantasy,English,Houghton Mifflin,1954,E9,No,Lost,3
183,The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,English,Houghton Mifflin,1937,D6,No,Lost,2
184,The Catcher in the Rye,J.D. Salinger,9780316769488,Fiction,English,"Little, Brown and Company",1951,A4,No,Lost,5
185,The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,English,Houghton Mifflin,1937,C6,No,Active,8
186,To Kill a Mockingbird,Harper Lee,9780061120084,Fiction,English,J.B. Lippincott & Co.,1960,B6,Yes,Lost,5
187,To Kill a Mockingbird,Harper Lee,9780061120084,Fiction,English,J.B. Lippincott & Co.,1960,A1,No,Active,4
188,Moby-Dick,Herman Melville,9781503280786,Fiction,English,Harper & Brothers,1851,E8,No,Lost,9
189,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,E6,No,Damaged,8
190,The Lord of the Rings,J.R.R. Tolkien,9780618640157,Fantasy,English,Houghton Mifflin,1954,B3,Yes,Active,3
191,Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780590353427,Fantasy,English,Scholastic,1997,E2,Yes,Lost,10
192,Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780590353427,Fantasy,English,Scholastic,1997,A3,No,Damaged,3
193,Pride and Prejudice,Jane Austen,9781503290563,Romance,English,T. Egerton,1813,B4,No,Damaged,8
194,The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,English,Houghton Mifflin,1937,C8,Yes,Lost,1
195,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,C7,Yes,Damaged,5
196,The Catcher in the Rye,J.D. Salinger,9780316769488,Fiction,English,"Little, Brown and Company",1951,B9,Yes,Damaged,1
197,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,C9,Yes,Damaged,3
198,Harry Potter and the Sorcerer's Stone,J.K. Rowling,9780590353427,Fantasy,English,Scholastic,1997,E6,No,Active,8
199,War and Peace,Leo Tolstoy,9781400079988,Historical Fiction,English,The Russian Messenger,1869,B7,Yes,Damaged,5
200,The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,English,Houghton Mifflin,1937,D1,No,Lost,2
201,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,C6,No,Active,1
202,War and Peace,Leo Tolstoy,9781400079988,Historical Fiction,English,The Russian Messenger,1869,E7,No,Damaged,6
203,Moby-Dick,Herman Melville,9781503280786,Fiction,English,Harper & Brothers,1851,E9,No,Lost,1
204,The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,English,Houghton Mifflin,1937,B4,No,Active,4
205,Pride and Prejudice,Jane Austen,9781503290563,Romance,English,T. Egerton,1813,E1,Yes,Lost,5
206,The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,English,Houghton Mifflin,1937,E6,No,Damaged,5
207,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,D10,No,Damaged,10
208,The Catcher in the Rye,J.D. Salinger,9780316769488,Fiction,English,"Little, Brown and Company",1951,B10,Yes,Active,7
209,Moby-Dick,Herman Melville,9781503280786,Fiction,English,Harper & Brothers,1851,A8,Yes,Lost,5
210,Moby-Dick,Herman Melville,9781503280786,Fiction,English,Harper & Brothers,1851,C3,Yes,Lost,8
211,The Catcher in the Rye,J.D. Salinger,9780316769488,Fiction,English,"Little, Brown and Company",1951,B4,Yes,Lost,10
212,War and Peace,Leo Tolstoy,9781400079988,Historical Fiction,English,The Russian Messenger,1869,E4,No,Damaged,10
213,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,B5,Yes,Damaged,6
214,The Catcher in the Rye,J.D. Salinger,9780316769488,Fiction,English,"Little, Brown and Company",1951,D1,Yes,Damaged,8
215,Pride and Prejudice,Jane Austen,9781503290563,Romance,English,T. Egerton,1813,D7,No,Damaged,1
216,To Kill a Mockingbird,Harper Lee,9780061120084,Fiction,English,J.B. Lippincott & Co.,1960,D10,No,Active,2
217,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,D6,Yes,Lost,1
218,War and Peace,Leo Tolstoy,9781400079988,Historical Fiction,English,The Russian Messenger,1869,A10,Yes,Active,8
219,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,B2,Yes,Lost,3
220,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,B5,Yes,Lost,10
221,Pride and Prejudice,Jane Austen,9781503290563,Romance,English,T. Egerton,1813,C5,No,Lost,7
222,War and Peace,Leo Tolstoy,9781400079988,Historical Fiction,English,The Russian Messenger,1869,A6,Yes,Active,8
223,The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,English,Houghton Mifflin,1937,E1,No,Damaged,9
224,Pride and Prejudice,Jane Austen,9781503290563,Romance,English,T. Egerton,1813,C7,Yes,Active,1
225,Moby-Dick,Herman Melville,9781503280786,Fiction,English,Harper & Brothers,1851,B4,Yes,Damaged,6
226,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,B8,Yes,Lost,4
227,War and Peace,Leo Tolstoy,9781400079988,Historical Fiction,English,The Russian Messenger,1869,D1,No,Active,7
228,Pride and Prejudice,Jane Austen,9781503290563,Romance,English,T. Egerton,1813,C7,Yes,Active,2
229,Pride and Prejudice,Jane Austen,9781503290563,Romance,English,T. Egerton,1813,D2,Yes,Active,3
230,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,D3,No,Active,9
231,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,D5,No,Damaged,7
232,The Hobbit,J.R.R. Tolkien,9780345339683,Fantasy,English,Houghton Mifflin,1937,A8,Yes,Damaged,3
233,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,A1,No,Lost,10
234,Pride and Prejudice,Jane Austen,9781503290563,Romance,English,T. Egerton,1813,E4,No,Active,8
235,1984,George Orwell,9780451524935,Dystopian,English,Secker & Warburg,1949,E10,No,Active,9
236,The Great Gatsby,F. Scott Fitzgerald,9780743273565,Fiction,English,Charles Scribner's Sons,1925,C9,Yes,Active,3
